Date,Buy or Sell,Signal,Signal Strength,Decision,Short Stock,Borrowed & Sold,Current Buy Price,Long Stock,Bought,Current Sell Price,Total Profit,Realized Profit,Total Money Spent
2021-05-11,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,156.6174774169922,160.29627990722656,TSLA,670.9400024414062,629.0399780273438,92.996337890625,138.57516479492188,678.7708763122558
2021-05-12,Buy,0.42857142857142855,,ALREADY POSITIONED,JPM,156.6174774169922,157.63162231445312,TSLA,670.9400024414062,617.2000122070312,83.82102966308594,138.57516479492188,678.7708763122558
2021-05-13,Buy,0.5714285714285714,,ALREADY POSITIONED,JPM,156.6174774169922,156.54788208007812,TSLA,670.9400024414062,589.8900146484375,57.59477233886719,138.57516479492188,678.7708763122558
2021-05-14,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,160.57467651367188,TSLA,670.9400024414062,571.6900024414062,35.36796569824219,138.57516479492188,678.7708763122558
2021-05-17,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,163.07029724121094,TSLA,670.9400024414062,589.739990234375,50.922332763671875,138.57516479492188,678.7708763122558
2021-05-18,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,163.7265167236328,TSLA,670.9400024414062,576.8300170898438,37.35614013671875,138.57516479492188,678.7708763122558
2021-05-19,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,161.41981506347656,TSLA,670.9400024414062,577.8699951171875,40.70281982421875,138.57516479492188,678.7708763122558
2021-05-20,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,160.18690490722656,TSLA,670.9400024414062,563.4600219726562,27.5257568359375,138.57516479492188,678.7708763122558
2021-05-21,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,159.9085235595703,TSLA,670.9400024414062,586.780029296875,51.1241455078125,138.57516479492188,678.7708763122558
2021-05-24,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,161.72802734375,TSLA,670.9400024414062,580.8800048828125,43.40461730957031,138.57516479492188,678.7708763122558
2021-05-25,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,156.6174774169922,162.6029815673828,TSLA,670.9400024414062,606.4400024414062,68.08966064453125,138.57516479492188,678.7708763122558
2021-05-26,Buy,0.42857142857142855,,ALREADY POSITIONED,JPM,156.6174774169922,160.9226837158203,TSLA,670.9400024414062,604.6900024414062,68.01995849609375,138.57516479492188,678.7708763122558
2021-05-27,Buy,0.5714285714285714,,ALREADY POSITIONED,JPM,156.6174774169922,160.9027862548828,TSLA,670.9400024414062,619.1300048828125,82.4798583984375,138.57516479492188,678.7708763122558
2021-05-28,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,163.40835571289062,TSLA,670.9400024414062,630.8499755859375,91.69425964355469,138.57516479492188,678.7708763122558
2021-06-01,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,156.6174774169922,163.29898071289062,TSLA,670.9400024414062,625.219970703125,86.17362976074219,138.57516479492188,678.7708763122558
2021-06-02,Buy,0.42857142857142855,,ALREADY POSITIONED,JPM,156.6174774169922,165.09861755371094,TSLA,670.9400024414062,623.9000244140625,83.05404663085938,138.57516479492188,678.7708763122558
2021-06-03,Buy,0.5714285714285714,,ALREADY POSITIONED,JPM,156.6174774169922,165.10855102539062,TSLA,670.9400024414062,605.1199951171875,64.26408386230469,138.57516479492188,678.7708763122558
2021-06-04,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,165.21791076660156,TSLA,670.9400024414062,572.8400268554688,31.874755859375,138.57516479492188,678.7708763122558
2021-06-07,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,156.6174774169922,165.4863739013672,TSLA,670.9400024414062,599.0499877929688,57.816253662109375,138.57516479492188,678.7708763122558
2021-06-08,Buy,0.42857142857142855,,ALREADY POSITIONED,JPM,156.6174774169922,164.71084594726562,TSLA,670.9400024414062,605.1300048828125,64.67179870605469,138.57516479492188,678.7708763122558
2021-06-09,Buy,0.5714285714285714,,ALREADY POSITIONED,JPM,156.6174774169922,164.05462646484375,TSLA,670.9400024414062,603.5900268554688,63.78804016113281,138.57516479492188,678.7708763122558
2021-06-10,Buy,0.7142857142857143,,ALREADY POSITIONED,JPM,156.6174774169922,162.0064239501953,TSLA,670.9400024414062,598.780029296875,61.0262451171875,138.57516479492188,678.7708763122558
2021-06-11,Buy,0.8571428571428571,,ALREADY POSITIONED,JPM,156.6174774169922,159.48097229003906,TSLA,670.9400024414062,610.1199951171875,74.89166259765625,138.57516479492188,678.7708763122558
2021-06-14,Buy,1.0,,ALREADY POSITIONED,JPM,156.6174774169922,159.37159729003906,TSLA,670.9400024414062,609.8900146484375,74.77105712890625,138.57516479492188,678.7708763122558
2021-06-15,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,156.66720581054688,TSLA,670.9400024414062,617.6900024414062,85.27543640136719,138.57516479492188,678.7708763122558
2021-06-16,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,154.29087829589844,TSLA,670.9400024414062,599.3599853515625,69.32174682617188,138.57516479492188,678.7708763122558
2021-06-17,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,156.6174774169922,155.37464904785156,TSLA,670.9400024414062,604.8699951171875,73.74798583984375,138.57516479492188,678.7708763122558
2021-06-18,Buy,0.42857142857142855,,ALREADY POSITIONED,JPM,156.6174774169922,150.89047241210938,TSLA,670.9400024414062,616.5999755859375,89.96214294433594,138.57516479492188,678.7708763122558
2021-06-21,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,147.07247924804688,TSLA,670.9400024414062,623.3099975585938,100.49015808105469,138.57516479492188,678.7708763122558
2021-06-22,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,149.56809997558594,TSLA,670.9400024414062,620.8300170898438,95.51455688476562,138.57516479492188,678.7708763122558
2021-06-23,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,156.6174774169922,149.349365234375,TSLA,670.9400024414062,623.7100219726562,98.61329650878906,138.57516479492188,678.7708763122558
2021-06-24,Sell,0.14285714285714285,Weak,Maintain Position,JPM,156.6174774169922,150.254150390625,TSLA,670.9400024414062,656.5700073242188,130.56849670410156,138.57516479492188,678.7708763122558
2021-06-25,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,151.6361846923828,TSLA,670.9400024414062,679.8200073242188,152.43646240234375,138.57516479492188,678.7708763122558
2021-06-28,Sell,0.14285714285714285,Weak,Maintain Position,JPM,156.6174774169922,153.1673583984375,TSLA,670.9400024414062,671.8699951171875,142.9552764892578,138.57516479492188,678.7708763122558
2021-06-29,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,156.6174774169922,153.4457550048828,TSLA,670.9400024414062,688.719970703125,159.52685546875,138.57516479492188,678.7708763122558
2021-06-30,Buy,0.42857142857142855,,ALREADY POSITIONED,JPM,156.6174774169922,153.25685119628906,TSLA,670.9400024414062,680.760009765625,151.75579833984375,138.57516479492188,678.7708763122558
2021-07-01,Buy,0.5714285714285714,,ALREADY POSITIONED,JPM,156.6174774169922,154.64881896972656,TSLA,670.9400024414062,679.7000122070312,149.3038330078125,138.57516479492188,678.7708763122558
2021-07-02,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,156.1800079345703,TSLA,670.9400024414062,677.9199829101562,145.99261474609375,138.57516479492188,678.7708763122558
2021-07-06,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,156.02999877929688,TSLA,670.9400024414062,678.9000244140625,147.12266540527344,138.57516479492188,678.7708763122558
2021-07-07,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,156.6174774169922,153.41000366210938,TSLA,670.9400024414062,659.5800170898438,130.4226531982422,138.57516479492188,678.7708763122558
2021-07-08,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,153.58999633789062,TSLA,670.9400024414062,644.6500244140625,115.31266784667969,138.57516479492188,678.7708763122558
2021-07-09,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,150.94000244140625,TSLA,670.9400024414062,652.8099975585938,126.12263488769531,138.57516479492188,678.7708763122558
2021-07-12,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,155.77000427246094,TSLA,670.9400024414062,656.9500122070312,125.43264770507812,138.57516479492188,678.7708763122558
2021-07-13,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,158.0,TSLA,670.9400024414062,685.7000122070312,151.95265197753906,138.57516479492188,678.7708763122558
2021-07-14,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,156.6174774169922,155.64999389648438,TSLA,670.9400024414062,668.5399780273438,137.1426239013672,138.57516479492188,678.7708763122558
2021-07-15,Buy,0.42857142857142855,,ALREADY POSITIONED,JPM,156.6174774169922,155.1199951171875,TSLA,670.9400024414062,653.3800048828125,122.51264953613281,138.57516479492188,678.7708763122558
2021-07-16,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,155.4600067138672,TSLA,670.9400024414062,650.5999755859375,119.39260864257812,138.57516479492188,678.7708763122558
2021-07-19,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,156.6174774169922,151.91000366210938,TSLA,670.9400024414062,644.219970703125,116.56260681152344,138.57516479492188,678.7708763122558
2021-07-20,Buy,0.42857142857142855,,ALREADY POSITIONED,JPM,156.6174774169922,146.97000122070312,TSLA,670.9400024414062,646.219970703125,123.50260925292969,138.57516479492188,678.7708763122558
2021-07-21,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,149.7100067138672,TSLA,670.9400024414062,660.5,135.04263305664062,138.57516479492188,678.7708763122558
2021-07-22,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,152.86000061035156,TSLA,670.9400024414062,655.2899780273438,126.6826171875,138.57516479492188,678.7708763122558
2021-07-23,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,150.92999267578125,TSLA,670.9400024414062,649.260009765625,122.58265686035156,138.57516479492188,678.7708763122558
2021-07-26,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,150.63999938964844,TSLA,670.9400024414062,643.3800048828125,116.99264526367188,138.57516479492188,678.7708763122558
2021-07-27,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,151.64999389648438,TSLA,670.9400024414062,657.6199951171875,130.22264099121094,138.57516479492188,678.7708763122558
2021-07-28,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,151.4499969482422,TSLA,670.9400024414062,644.780029296875,117.58267211914062,138.57516479492188,678.7708763122558
2021-07-29,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,156.6174774169922,151.6999969482422,TSLA,670.9400024414062,646.97998046875,119.53262329101562,138.57516479492188,678.7708763122558
2021-07-30,Sell,0.14285714285714285,Weak,Maintain Position,JPM,156.6174774169922,153.0,TSLA,670.9400024414062,677.3499755859375,148.6026153564453,138.57516479492188,678.7708763122558
2021-08-02,Sell,0.2857142857142857,Weak,Maintain Position,JPM,156.6174774169922,151.77999877929688,TSLA,670.9400024414062,687.2000122070312,159.6726531982422,138.57516479492188,678.7708763122558
2021-08-03,Sell,0.42857142857142855,Weak,Maintain Position,JPM,156.6174774169922,151.1699981689453,TSLA,670.9400024414062,709.6699829101562,182.75262451171875,138.57516479492188,678.7708763122558
2021-08-04,Sell,0.5714285714285714,Weak,Maintain Position,JPM,156.6174774169922,152.88999938964844,TSLA,670.9400024414062,709.739990234375,181.10263061523438,138.57516479492188,678.7708763122558
2021-08-05,Sell,0.7142857142857143,Strong,Close Position,JPM,156.6174774169922,151.24000549316406,TSLA,670.9400024414062,710.9199829101562,183.9326171875,183.9326171875,678.7708763122558
2021-08-06,Buy,0.14285714285714285,Weak,No New Position,JPM,156.6174774169922,151.24000549316406,TSLA,670.9400024414062,710.9199829101562,183.9326171875,183.9326171875,678.7708763122558
2021-08-09,Sell,0.14285714285714285,,NO POSITION,JPM,156.6174774169922,151.24000549316406,TSLA,670.9400024414062,710.9199829101562,183.9326171875,183.9326171875,678.7708763122558
